date,country,province,cumulative_confirmed,daily_confirmed,cumulative_deaths,daily_deaths,cumulative_recovered,daily_recovered
2022-06-02,China,Guangxi,1638,4.0,2,0.0,,
2022-06-03,China,Guangxi,1639,1.0,2,0.0,,
2022-06-04,China,Guangxi,1639,0.0,2,0.0,,
2022-06-05,China,Guangxi,1641,2.0,2,0.0,,
2022-06-06,China,Guangxi,1643,2.0,2,0.0,,
2022-06-07,China,Guangxi,1644,1.0,2,0.0,,
2022-06-08,China,Guangxi,1646,2.0,2,0.0,,
2022-06-09,China,Guangxi,1649,3.0,2,0.0,,
2022-06-10,China,Guangxi,1649,0.0,2,0.0,,
2022-06-11,China,Guangxi,1649,0.0,2,0.0,,
2022-06-12,China,Guangxi,1649,0.0,2,0.0,,
2022-06-13,China,Guangxi,1649,0.0,2,0.0,,
2022-06-14,China,Guangxi,1649,0.0,2,0.0,,
2022-06-15,China,Guangxi,1649,0.0,2,0.0,,
2022-06-16,China,Guangxi,1649,0.0,2,0.0,,
2022-06-17,China,Guangxi,1649,0.0,2,0.0,,
2022-06-18,China,Guangxi,1649,0.0,2,0.0,,
2022-06-19,China,Guangxi,1649,0.0,2,0.0,,
2022-06-20,China,Guangxi,1649,0.0,2,0.0,,
2022-06-21,China,Guangxi,1649,0.0,2,0.0,,
2022-06-22,China,Guangxi,1649,0.0,2,0.0,,
2022-06-23,China,Guangxi,1649,0.0,2,0.0,,
2022-06-24,China,Guangxi,1649,0.0,2,0.0,,
2022-06-25,China,Guangxi,1649,0.0,2,0.0,,
2022-06-26,China,Guangxi,1649,0.0,2,0.0,,
2022-06-27,China,Guangxi,1649,0.0,2,0.0,,
2022-06-28,China,Guangxi,1649,0.0,2,0.0,,
2022-06-29,China,Guangxi,1649,0.0,2,0.0,,
2022-06-30,China,Guangxi,1649,0.0,2,0.0,,
2022-07-01,China,Guangxi,1649,0.0,2,0.0,,
2022-07-02,China,Guangxi,1649,0.0,2,0.0,,
2022-07-03,China,Guangxi,1649,0.0,2,0.0,,
2022-07-04,China,Guangxi,1649,0.0,2,0.0,,
2022-07-05,China,Guangxi,1649,0.0,2,0.0,,
